program,flags,file_size,total_lines,instructions,functions,basic_blocks,load_instructions,store_instructions,call_instructions,runtime_seconds,peak_memory_mb
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['sroa'],9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'loop-unroll', 'gvn', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'loop-unroll', 'gvn', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'loop-unroll', 'gvn', 'simplifycfg', 'dce', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'dce', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'dce', 'gvn', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'dce', 'gvn', 'loop-unroll', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['sroa'],9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'loop-unroll', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'loop-unroll', 'mem2reg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'loop-unroll', 'mem2reg', 'dce', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['loop-unroll'],9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'sroa', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'sroa', 'gvn', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'sroa', 'gvn', 'dce', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'sroa', 'gvn', 'dce', 'mem2reg', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['sroa'],9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn', 'loop-unroll', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn', 'loop-unroll', 'dce', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['gvn'],9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'mem2reg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'mem2reg', 'loop-unroll', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'mem2reg', 'loop-unroll', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'mem2reg', 'loop-unroll', 'simplifycfg', 'dce', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'loop-unroll', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'loop-unroll', 'sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'loop-unroll', 'sroa', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'loop-unroll', 'sroa', 'simplifycfg', 'dce', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'dce', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'dce', 'loop-unroll', 'gvn', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'dce', 'loop-unroll', 'gvn', 'sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['gvn'],9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'sroa', 'simplifycfg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'sroa', 'simplifycfg', 'loop-unroll', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['gvn', 'sroa', 'simplifycfg', 'loop-unroll', 'mem2reg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['dce'],9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'mem2reg', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'mem2reg', 'simplifycfg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'mem2reg', 'simplifycfg', 'gvn', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['sroa'],9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn', 'mem2reg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'simplifycfg', 'gvn', 'mem2reg', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['sroa'],9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'dce', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'dce', 'loop-unroll', 'gvn', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['sroa', 'dce', 'loop-unroll', 'gvn', 'mem2reg', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['simplifycfg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['simplifycfg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['simplifycfg', 'sroa', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['simplifycfg', 'sroa', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['simplifycfg', 'sroa', 'dce', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['simplifycfg', 'sroa', 'dce', 'loop-unroll', 'gvn', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['dce'],9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'simplifycfg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'simplifycfg', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'simplifycfg', 'loop-unroll', 'gvn', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'simplifycfg', 'loop-unroll', 'gvn', 'sroa', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'gvn', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'gvn', 'simplifycfg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'gvn', 'simplifycfg', 'dce', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'gvn', 'simplifycfg', 'dce', 'sroa', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['loop-unroll'],9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'gvn', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'gvn', 'mem2reg', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'gvn', 'mem2reg', 'dce', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['loop-unroll', 'gvn', 'mem2reg', 'dce', 'simplifycfg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['dce'],9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'loop-unroll', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'loop-unroll', 'mem2reg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'loop-unroll', 'mem2reg', 'gvn', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa', 'gvn', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'simplifycfg', 'sroa', 'gvn', 'dce', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['mem2reg'],9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'loop-unroll', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['mem2reg', 'sroa', 'simplifycfg', 'loop-unroll', 'gvn', 'dce']",9650,115,52,1,1,12,3,27,0,0
program_0,None,9636,115,52,1,1,12,3,27,0,0
program_0,['-O3'],9894,115,52,1,1,12,3,27,0,0
program_0,['dce'],9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'simplifycfg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'simplifycfg', 'mem2reg']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'simplifycfg', 'mem2reg', 'gvn']",9650,115,52,1,1,12,3,27,0,0
program_0,"['dce', 'sroa', 'simplifycfg', 'mem2reg', 'gvn', 'loop-unroll']",9650,115,52,1,1,12,3,27,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['sroa'],442910,4692,656,12,12,261,41,197,0,0
program_1,"['sroa', 'loop-unroll']",443946,4710,665,12,12,261,41,197,0,0
program_1,"['sroa', 'loop-unroll', 'gvn']",430028,4517,536,12,12,214,41,197,0,0
program_1,"['sroa', 'loop-unroll', 'gvn', 'simplifycfg']",419191,4288,542,12,12,215,40,199,0,0
program_1,"['sroa', 'loop-unroll', 'gvn', 'simplifycfg', 'dce']",419191,4288,542,12,12,215,40,199,0,0
program_1,"['sroa', 'loop-unroll', 'gvn', 'simplifycfg', 'dce', 'mem2reg']",419191,4288,542,12,12,215,40,199,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['mem2reg'],442910,4692,656,12,12,261,41,197,0,0
program_1,"['mem2reg', 'simplifycfg']",432106,4456,657,12,12,261,41,199,0,0
program_1,"['mem2reg', 'simplifycfg', 'dce']",432106,4456,657,12,12,261,41,199,0,0
program_1,"['mem2reg', 'simplifycfg', 'dce', 'gvn']",420039,4302,536,12,12,214,41,199,0,0
program_1,"['mem2reg', 'simplifycfg', 'dce', 'gvn', 'loop-unroll']",421376,4328,541,12,12,214,41,199,0,0
program_1,"['mem2reg', 'simplifycfg', 'dce', 'gvn', 'loop-unroll', 'sroa']",421376,4328,541,12,12,214,41,199,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['sroa'],442910,4692,656,12,12,261,41,197,0,0
program_1,"['sroa', 'simplifycfg']",432109,4456,657,12,12,261,41,199,0,0
program_1,"['sroa', 'simplifycfg', 'loop-unroll']",433580,4484,664,12,12,261,41,199,0,0
program_1,"['sroa', 'simplifycfg', 'loop-unroll', 'mem2reg']",433580,4484,664,12,12,261,41,199,0,0
program_1,"['sroa', 'simplifycfg', 'loop-unroll', 'mem2reg', 'dce']",433580,4484,664,12,12,261,41,199,0,0
program_1,"['sroa', 'simplifycfg', 'loop-unroll', 'mem2reg', 'dce', 'gvn']",421001,4323,536,12,12,214,41,199,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['loop-unroll'],492330,5584,982,12,12,546,221,228,0,0
program_1,"['loop-unroll', 'sroa']",443400,4703,656,12,12,261,41,197,0,0
program_1,"['loop-unroll', 'sroa', 'gvn']",430142,4519,536,12,12,214,41,197,0,0
program_1,"['loop-unroll', 'sroa', 'gvn', 'dce']",430142,4519,536,12,12,214,41,197,0,0
program_1,"['loop-unroll', 'sroa', 'gvn', 'dce', 'mem2reg']",430142,4519,536,12,12,214,41,197,0,0
program_1,"['loop-unroll', 'sroa', 'gvn', 'dce', 'mem2reg', 'simplifycfg']",419191,4288,542,12,12,215,40,199,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['sroa'],442910,4692,656,12,12,261,41,197,0,0
program_1,"['sroa', 'simplifycfg']",432109,4456,657,12,12,261,41,199,0,0
program_1,"['sroa', 'simplifycfg', 'gvn']",420042,4302,536,12,12,214,41,199,0,0
program_1,"['sroa', 'simplifycfg', 'gvn', 'loop-unroll']",421382,4328,541,12,12,214,41,199,0,0
program_1,"['sroa', 'simplifycfg', 'gvn', 'loop-unroll', 'dce']",421382,4328,541,12,12,214,41,199,0,0
program_1,"['sroa', 'simplifycfg', 'gvn', 'loop-unroll', 'dce', 'mem2reg']",421382,4328,541,12,12,214,41,199,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['gvn'],452540,4942,616,12,12,215,221,282,0,0
program_1,"['gvn', 'mem2reg']",427172,4474,536,12,12,214,41,197,0,0
program_1,"['gvn', 'mem2reg', 'loop-unroll']",427944,4490,543,12,12,214,41,197,0,0
program_1,"['gvn', 'mem2reg', 'loop-unroll', 'simplifycfg']",416962,4258,545,12,12,215,40,199,0,0
program_1,"['gvn', 'mem2reg', 'loop-unroll', 'simplifycfg', 'dce']",416962,4258,545,12,12,215,40,199,0,0
program_1,"['gvn', 'mem2reg', 'loop-unroll', 'simplifycfg', 'dce', 'sroa']",416962,4258,545,12,12,215,40,199,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['mem2reg'],442910,4692,656,12,12,261,41,197,0,0
program_1,"['mem2reg', 'loop-unroll']",443943,4710,665,12,12,261,41,197,0,0
program_1,"['mem2reg', 'loop-unroll', 'sroa']",443943,4710,665,12,12,261,41,197,0,0
program_1,"['mem2reg', 'loop-unroll', 'sroa', 'simplifycfg']",432410,4460,661,12,12,261,41,199,0,0
program_1,"['mem2reg', 'loop-unroll', 'sroa', 'simplifycfg', 'dce']",432410,4460,661,12,12,261,41,199,0,0
program_1,"['mem2reg', 'loop-unroll', 'sroa', 'simplifycfg', 'dce', 'gvn']",420039,4302,536,12,12,214,41,199,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['mem2reg'],442910,4692,656,12,12,261,41,197,0,0
program_1,"['mem2reg', 'dce']",442910,4692,656,12,12,261,41,197,0,0
program_1,"['mem2reg', 'dce', 'loop-unroll']",443943,4710,665,12,12,261,41,197,0,0
program_1,"['mem2reg', 'dce', 'loop-unroll', 'gvn']",430028,4517,536,12,12,214,41,197,0,0
program_1,"['mem2reg', 'dce', 'loop-unroll', 'gvn', 'sroa']",430028,4517,536,12,12,214,41,197,0,0
program_1,"['mem2reg', 'dce', 'loop-unroll', 'gvn', 'sroa', 'simplifycfg']",419188,4288,542,12,12,215,40,199,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['gvn'],452540,4942,616,12,12,215,221,282,0,0
program_1,"['gvn', 'sroa']",427172,4474,536,12,12,214,41,197,0,0
program_1,"['gvn', 'sroa', 'simplifycfg']",416787,4255,542,12,12,215,40,199,0,0
program_1,"['gvn', 'sroa', 'simplifycfg', 'loop-unroll']",418015,4281,547,12,12,215,40,199,0,0
program_1,"['gvn', 'sroa', 'simplifycfg', 'loop-unroll', 'mem2reg']",418015,4281,547,12,12,215,40,199,0,0
program_1,"['gvn', 'sroa', 'simplifycfg', 'loop-unroll', 'mem2reg', 'dce']",418015,4281,547,12,12,215,40,199,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['dce'],491962,5575,982,12,12,546,221,228,0,0
program_1,"['dce', 'sroa']",442910,4692,656,12,12,261,41,197,0,0
program_1,"['dce', 'sroa', 'mem2reg']",442910,4692,656,12,12,261,41,197,0,0
program_1,"['dce', 'sroa', 'mem2reg', 'simplifycfg']",432109,4456,657,12,12,261,41,199,0,0
program_1,"['dce', 'sroa', 'mem2reg', 'simplifycfg', 'gvn']",420042,4302,536,12,12,214,41,199,0,0
program_1,"['dce', 'sroa', 'mem2reg', 'simplifycfg', 'gvn', 'loop-unroll']",421382,4328,541,12,12,214,41,199,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['sroa'],442910,4692,656,12,12,261,41,197,0,0
program_1,"['sroa', 'simplifycfg']",432109,4456,657,12,12,261,41,199,0,0
program_1,"['sroa', 'simplifycfg', 'gvn']",420042,4302,536,12,12,214,41,199,0,0
program_1,"['sroa', 'simplifycfg', 'gvn', 'mem2reg']",420042,4302,536,12,12,214,41,199,0,0
program_1,"['sroa', 'simplifycfg', 'gvn', 'mem2reg', 'dce']",420042,4302,536,12,12,214,41,199,0,0
program_1,"['sroa', 'simplifycfg', 'gvn', 'mem2reg', 'dce', 'loop-unroll']",421382,4328,541,12,12,214,41,199,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['sroa'],442910,4692,656,12,12,261,41,197,0,0
program_1,"['sroa', 'dce']",442910,4692,656,12,12,261,41,197,0,0
program_1,"['sroa', 'dce', 'loop-unroll']",443946,4710,665,12,12,261,41,197,0,0
program_1,"['sroa', 'dce', 'loop-unroll', 'gvn']",430028,4517,536,12,12,214,41,197,0,0
program_1,"['sroa', 'dce', 'loop-unroll', 'gvn', 'mem2reg']",430028,4517,536,12,12,214,41,197,0,0
program_1,"['sroa', 'dce', 'loop-unroll', 'gvn', 'mem2reg', 'simplifycfg']",419191,4288,542,12,12,215,40,199,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['simplifycfg'],487180,5469,986,12,12,546,221,228,0,0
program_1,"['simplifycfg', 'sroa']",438518,4589,660,12,12,261,41,198,0,0
program_1,"['simplifycfg', 'sroa', 'dce']",438518,4589,660,12,12,261,41,198,0,0
program_1,"['simplifycfg', 'sroa', 'dce', 'loop-unroll']",439409,4605,667,12,12,261,41,198,0,0
program_1,"['simplifycfg', 'sroa', 'dce', 'loop-unroll', 'gvn']",426830,4444,539,12,12,214,41,198,0,0
program_1,"['simplifycfg', 'sroa', 'dce', 'loop-unroll', 'gvn', 'mem2reg']",426830,4444,539,12,12,214,41,198,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
program_1,['dce'],491962,5575,982,12,12,546,221,228,0,0
program_1,"['dce', 'simplifycfg']",487180,5469,986,12,12,546,221,228,0,0
program_1,"['dce', 'simplifycfg', 'loop-unroll']",487540,5478,986,12,12,546,221,228,0,0
program_1,"['dce', 'simplifycfg', 'loop-unroll', 'gvn']",449712,4878,619,12,12,215,221,283,0,0
program_1,"['dce', 'simplifycfg', 'loop-unroll', 'gvn', 'sroa']",424344,4410,539,12,12,214,41,198,0,0
program_1,"['dce', 'simplifycfg', 'loop-unroll', 'gvn', 'sroa', 'mem2reg']",424344,4410,539,12,12,214,41,198,0,0
program_1,None,491948,5575,982,12,12,546,221,228,0,0
program_1,['-O3'],408509,4061,460,7,7,201,40,187,0,0
